Laddningstidpunkt,Material,Tilläggstjänst per produkt,Kundens beställningsdatum,Verklig vikt,Försäljningsdokument,Enhet för längd/bredd/höjd,Företag,Fraktdragande vikt,Inhämtande terminal,Inlämningsperiod,Inlämningsställe,Summa nettoomsättning SD (inkl avgift),Valutakod,Villkorsdelsumma 3 ur kalkylschema,SD-dokumentets valuta,Kollinummer,Referensdokumentnummer,Försäljningskvantitet (st),Från Land,Till Land,Paketvikt,Räkenskapsår/period,Från Postnummer,Till Postnummer,Inhämtningsterminal,s_ord_item,samtaxering,Terminalavgift,Fakt tillägg/avgift,Drivmedels- och svaveltillägg,Kundnummer uppdragsgivare,spridande terminal,Viktenhet,Viktklass (taxerad vikt),Volymer i kubikmeter,Volymvikt (baserat på avtal),Avstånd Km,Sändnings ID,Bredd,Höjd,Längd,Kollislag,Prisgrupp
07Dec2019 15:45:00,000000000001001029,,2019-10-02,3.180,1510950371,M,F091,11.760,,201910,,0.00,SEK,0.00,SEK,00000000000000000373500353222444900,7501465047,1,SE,SE,0000000012,201910,20210,20502,,003250,N,0.00,0.00,0.00,0020689885,,KG,3,0.042,3.180,00000,,0.380,0.260,0.430,,
07Dec2019 15:45:00,000000000001001029,,2019-10-02,11.620,1510950371,M,F091,30.520,,201910,,0.00,SEK,0.00,SEK,00000000000000000373500353222444917,7501465047,1,SE,SE,0000000031,201910,20210,20502,,003260,N,0.00,0.00,0.00,0020689885,,KG,12,0.109,11.620,00000,,0.390,0.490,0.570,,
07Dec2019 15:45:00,000000000001001029,,2019-10-02,1.180,1510950371,M,F091,6.160,,201910,,0.00,SEK,0.00,SEK,00000000000000000373500353222451427,7501465047,1,SE,SE,0000000007,201910,20210,20502,,003270,N,0.00,0.00,0.00,0020689885,,KG,1,0.022,1.180,00000,,0.290,0.200,0.380,,
07Dec2019 15:45:00,000000000001001029,,2019-10-02,10.000,1510950371,M,F091,10.000,,201910,,0.00,SEK,0.00,SEK,00000000000000000373500353222506905,7501465047,1,SE,SE,0000000010,201910,20210,20502,,003280,N,0.00,0.00,0.00,0020689885,,KG,10,0.001,10.000,00000,,0.100,0.100,0.100,,
07Dec2019 15:45:00,000000000001001029,,2019-10-02,3.760,1510950371,M,F091,9.800,,201910,,0.00,SEK,0.00,SEK,00000000000000000373500353222529362,7501465047,1,SE,SE,0000000010,201910,20210,20502,,003290,N,0.00,0.00,0.00,0020689885,,KG,4,0.035,3.760,00000,,0.280,0.330,0.380,,
07Dec2019 15:45:00,000000000001001029,,2019-10-02,5.980,1510950371,M,F091,16.240,,201910,,0.00,SEK,0.00,SEK,00000000000000000373500353222444955,7501465047,1,SE,SE,0000000017,201910,20210,20502,,003300,N,0.00,0.00,0.00,0020689885,,KG,6,0.058,5.980,00000,,0.390,0.260,0.570,,
07Dec2019 15:45:00,000000000001001029,,2019-10-02,13.880,1510950371,M,F091,16.240,,201910,,0.00,SEK,0.00,SEK,00000000000000000373500353222444962,7501465047,1,SE,SE,0000000017,201910,20210,20502,,003310,N,0.00,0.00,0.00,0020689885,,KG,14,0.058,13.880,00000,,0.380,0.270,0.570,,
07Dec2019 15:45:00,000000000001001029,,2019-10-02,6.640,1510950371,M,F091,7.560,,201910,,0.00,SEK,0.00,SEK,00000000000000000373500353222444979,7501465047,1,SE,SE,0000000008,201910,20210,20502,,003320,N,0.00,0.00,0.00,0020689885,,KG,7,0.027,6.640,00000,,0.270,0.260,0.380,,
07Dec2019 15:45:00,000000000001001029,,2019-10-02,6.800,1510950371,M,F091,7.560,,201910,,0.00,SEK,0.00,SEK,00000000000000000373500353222444986,7501465047,1,SE,SE,0000000008,201910,20210,20502,,003330,N,0.00,0.00,0.00,0020689885,,KG,7,0.027,6.800,00000,,0.260,0.270,0.390,,
07Dec2019 15:45:00,000000000001001029,,2019-10-02,7.000,1510950371,M,F091,7.560,,201910,,0.00,SEK,0.00,SEK,00000000000000000373500353222444993,7501465047,1,SE,SE,0000000008,201910,20210,20502,,003340,N,0.00,0.00,0.00,0020689885,,KG,7,0.027,7.000,00000,,0.260,0.270,0.390,,
